datetime,ppm,temp,rh,class
2021-08-11 08:00:18,293.96,27.18,69.5,3
2021-08-11 08:00:41,414.38,27.17,69.63,3
2021-08-11 08:01:03,414.38,27.14,70.56,3
2021-08-11 08:01:26,334.15,27.14,70.22,3
2021-08-11 08:01:49,428.68,27.12,70.14,3
2021-08-11 08:02:11,356.68,27.12,70.44,3
2021-08-11 08:02:34,421.46,27.12,70.07,3
2021-08-11 08:02:56,414.38,27.09,70.0,3
2021-08-11 08:03:19,421.46,27.09,69.98,3
2021-08-11 08:03:42,421.46,27.09,70.01,3
2021-08-11 08:04:04,356.68,27.1,70.48,3
2021-08-11 08:04:27,421.46,27.09,70.18,3
2021-08-11 08:04:50,443.58,27.09,70.38,3
2021-08-11 08:05:12,362.6,27.1,70.41,3
2021-08-11 08:05:35,356.68,27.1,70.41,3
2021-08-11 08:05:57,436.05,27.1,70.32,3
2021-08-11 08:06:20,443.58,27.12,70.45,3
2021-08-11 08:06:43,362.6,27.11,70.41,3
2021-08-11 08:07:05,436.05,27.11,70.26,3
2021-08-11 08:07:28,436.05,27.1,70.42,3
2021-08-11 08:07:51,428.68,27.1,70.63,3
2021-08-11 08:08:13,421.46,27.1,70.46,3
2021-08-11 08:08:36,459.1,27.09,70.56,3
2021-08-11 08:08:58,362.6,27.09,70.81,3
2021-08-11 08:09:21,443.58,27.1,70.61,3
2021-08-11 08:09:44,362.6,27.1,70.68,3
2021-08-11 08:10:07,436.05,27.1,70.63,3
2021-08-11 08:10:29,443.58,27.1,70.66,3
2021-08-11 08:10:52,443.58,27.1,70.87,3
2021-08-11 08:11:14,428.68,27.11,70.77,3
2021-08-11 08:11:37,428.68,27.11,70.79,3
2021-08-11 08:12:00,362.6,27.11,70.69,3
2021-08-11 08:12:22,443.58,27.11,70.71,3
2021-08-11 08:12:45,436.05,27.1,70.81,3
2021-08-11 08:13:08,443.58,27.11,71.05,3
2021-08-11 08:13:30,459.1,27.11,71.21,3
2021-08-11 08:13:53,443.58,27.12,71.08,3
